ISIN,Date,Price,Model
AT0000758305,2023-09-29,22.19,prod_arima
AT0000758305,2023-10-02,22.08,prod_arima
AT0000758305,2023-10-03,21.96,prod_arima
AT0000758305,2023-10-04,21.85,prod_arima
AT0000758305,2023-10-05,21.74,prod_arima
AT0000758305,2023-10-06,21.63,prod_arima
AT0000938204,2023-09-25,127.98,prod_arima
AT0000938204,2023-09-26,127.97,prod_arima
AT0000938204,2023-09-27,127.95,prod_arima
AT0000938204,2023-09-28,127.93,prod_arima
AT0000938204,2023-09-29,127.92,prod_arima
AT0000938204,2023-10-02,127.9,prod_arima
AT0000938204,2023-10-03,127.88,prod_arima
AT0000938204,2023-10-04,127.87,prod_arima
AT0000938204,2023-10-05,127.85,prod_arima
AT0000938204,2023-10-06,127.83,prod_arima
AT0000908504,2023-09-25,26.06,prod_arima
AT0000908504,2023-09-26,26.08,prod_arima
AT0000908504,2023-09-27,26.09,prod_arima
AT0000908504,2023-09-28,26.11,prod_arima
AT0000908504,2023-09-29,26.12,prod_arima
AT0000908504,2023-10-02,26.13,prod_arima
AT0000908504,2023-10-03,26.15,prod_arima
AT0000908504,2023-10-04,26.16,prod_arima
AT0000908504,2023-10-05,26.18,prod_arima
AT0000908504,2023-10-06,26.19,prod_arima
AT0000A21KS2,2023-09-25,18.22,prod_arima
AT0000A21KS2,2023-09-26,18.24,prod_arima
AT0000A21KS2,2023-09-27,18.26,prod_arima
AT0000A21KS2,2023-09-28,18.28,prod_arima
AT0000A21KS2,2023-09-29,18.3,prod_arima
AT0000A21KS2,2023-10-02,18.32,prod_arima
AT0000A21KS2,2023-10-03,18.34,prod_arima
AT0000A21KS2,2023-10-04,18.36,prod_arima
AT0000A21KS2,2023-10-05,18.38,prod_arima
AT0000A21KS2,2023-10-06,18.4,prod_arima
AT0000641352,2023-09-25,30.84,prod_arima
AT0000641352,2023-09-26,30.83,prod_arima
AT0000641352,2023-09-27,30.83,prod_arima
AT0000641352,2023-09-28,30.83,prod_arima
AT0000641352,2023-09-29,30.83,prod_arima
AT0000641352,2023-10-02,30.82,prod_arima
AT0000641352,2023-10-03,30.82,prod_arima
AT0000641352,2023-10-04,30.82,prod_arima
AT0000641352,2023-10-05,30.82,prod_arima
AT0000641352,2023-10-06,30.82,prod_arima
AT0000821103,2023-09-25,7.58,prod_arima
AT0000821103,2023-09-26,7.58,prod_arima
AT0000821103,2023-09-27,7.59,prod_arima
AT0000821103,2023-09-28,7.59,prod_arima
