ISIN,Date,Return,Price,Model
AT0000785555,2023-09-29,0.9998856101631408,16.71,prod_arima
AT0000785555,2023-10-02,0.9994939260348582,16.7,prod_arima
AT0000785555,2023-10-03,0.9996774208666381,16.7,prod_arima
AT0000785555,2023-10-04,0.9996112851117238,16.69,prod_arima
AT0000785555,2023-10-05,0.999640044883277,16.69,prod_arima
AT0000785555,2023-10-06,0.9996291272077176,16.68,prod_arima
AT0000831706,2023-09-25,1.0004014011638622,23.85,prod_arima
AT0000831706,2023-09-26,1.0004014011638622,23.86,prod_arima
AT0000831706,2023-09-27,1.0004014011638622,23.87,prod_arima
AT0000831706,2023-09-28,1.0004014011638622,23.88,prod_arima
AT0000831706,2023-09-29,1.0004014011638622,23.89,prod_arima
AT0000831706,2023-10-02,1.0004014011638622,23.9,prod_arima
AT0000831706,2023-10-03,1.0004014011638622,23.91,prod_arima
AT0000831706,2023-10-04,1.0004014011638622,23.92,prod_arima
AT0000831706,2023-10-05,1.0004014011638622,23.93,prod_arima
AT0000831706,2023-10-06,1.0004014011638622,23.94,prod_arima
AT0000644505,2023-09-25,0.998694779723178,38.6,prod_arima
AT0000644505,2023-09-26,0.998694779723178,38.55,prod_arima
AT0000644505,2023-09-27,0.998694779723178,38.5,prod_arima
AT0000644505,2023-09-28,0.998694779723178,38.45,prod_arima
AT0000644505,2023-09-29,0.998694779723178,38.4,prod_arima
AT0000644505,2023-10-02,0.998694779723178,38.35,prod_arima
AT0000644505,2023-10-03,0.998694779723178,38.3,prod_arima
AT0000644505,2023-10-04,0.998694779723178,38.25,prod_arima
AT0000644505,2023-10-05,0.998694779723178,38.2,prod_arima
AT0000644505,2023-10-06,0.998694779723178,38.15,prod_arima
AT0000758305,2023-09-25,0.9984655813511469,22.67,prod_arima
AT0000758305,2023-09-26,0.9940164637502966,22.53,prod_arima
AT0000758305,2023-09-27,0.9951153170645556,22.42,prod_arima
AT0000758305,2023-09-28,0.99484335001918,22.3,prod_arima
AT0000758305,2023-09-29,0.9949106271762094,22.19,prod_arima
AT0000758305,2023-10-02,0.994893982524883,22.08,prod_arima
AT0000758305,2023-10-03,0.9948981003508459,21.96,prod_arima
AT0000758305,2023-10-04,0.9948970816077382,21.85,prod_arima
AT0000758305,2023-10-05,0.9948973336425527,21.74,prod_arima
AT0000758305,2023-10-06,0.9948972712896613,21.63,prod_arima
AT0000938204,2023-09-25,0.9998706148435936,127.98,prod_arima
AT0000938204,2023-09-26,0.9998706148435936,127.97,prod_arima
AT0000938204,2023-09-27,0.9998706148435936,127.95,prod_arima
AT0000938204,2023-09-28,0.9998706148435936,127.93,prod_arima
AT0000938204,2023-09-29,0.9998706148435936,127.92,prod_arima
AT0000938204,2023-10-02,0.9998706148435936,127.9,prod_arima
AT0000938204,2023-10-03,0.9998706148435936,127.88,prod_arima
AT0000938204,2023-10-04,0.9998706148435936,127.87,prod_arima
AT0000938204,2023-10-05,0.9998706148435936,127.85,prod_arima
AT0000938204,2023-10-06,0.9998706148435936,127.83,prod_arima
AT0000908504,2023-09-25,1.0005339705551535,26.06,prod_arima
AT0000908504,2023-09-26,1.0005339705551535,26.08,prod_arima
AT0000908504,2023-09-27,1.0005339705551535,26.09,prod_arima
AT0000908504,2023-09-28,1.0005339705551535,26.11,prod_arima
