Model;BatchSize;Epochs;LearningRate;LookBackWindowSize;RMSE;PredictiveScore
recurrent_regression_net;160;5;0.001;10;0.018604005572738138;0.49110187539884725
recurrent_regression_net;160;5;0.001;260;0.018186781612568002;0.4891415750061319
recurrent_regression_net;160;5;0.001;520;0.020477166961807083;0.474695108102045
recurrent_regression_net;100;10;0.001;5;0.018000796358449464;0.4994607355113701
recurrent_regression_net;100;10;0.001;25;0.016889336419716943;0.4825699503125034
recurrent_regression_net;100;10;0.001;65;0.019357518550408293;0.48503809572707146
recurrent_regression_net;100;10;0.001;20;0.019252246707868396;0.4827947164429547
