Model;LookBackWindowSize;RMSE;PredictiveScore;DailySeasonality;WeeklySeasonality;YearlySeasonality
prophet;520;0.016285020588001773;0.6425759254101087;true;false;false
prophet;260;0.016071557812762254;0.655301220865781;true;false;false
