Model;BatchSize;Epochs;LearningRate;LookBackWindowSize;MAE;RMSE;F1-Score
simple_regression_net;130;10;0.001;30;0.01212662042799497;0.017398920426514114;0.432775112668092
simple_regression_net;130;10;0.001;25;0.012383635252117496;0.01741201722613535;0.4760789853928995
simple_regression_net;130;10;0.001;5;0.013253112827115117;0.01866268413705098;0.3613755115400754
simple_regression_net;65;10;0.001;30;0.013279710293394708;0.01866621114873546;0.4109113682577691
simple_regression_net;65;10;0.001;25;0.013093180790092918;0.018229275395796544;0.4284896243782919
simple_regression_net;65;10;0.001;5;0.013252417279802042;0.018038345426917988;0.5335498165818692
simple_regression_net;30;10;0.001;30;0.015129794443601258;0.020337095174279746;0.5706404250705144
simple_regression_net;30;10;0.001;25;0.014238678282043848;0.01958534128159782;0.51576462118812
simple_regression_net;30;10;0.001;5;0.015245675952078305;0.020400286181329115;0.498235069585404
simple_regression_net;20;10;0.001;30;0.014134201231535798;0.01894438192205339;0.5562152142727712
simple_regression_net;20;10;0.001;25;0.01398143963387133;0.018812799752830855;0.2941141004354502
simple_regression_net;20;10;0.001;5;0.013384632388133455;0.01817821781275967;0.40410006673821286
simple_regression_net;10;10;0.001;30;0.014292463944871867;0.019650562560411124;0.43711626619797983
simple_regression_net;10;10;0.001;25;0.01466164642968564;0.02039784627066762;0.3281473850210398
simple_regression_net;10;10;0.001;5;0.014167604915678715;0.01952046328643868;0.45944650691815064
