Model;LookBackWindowSize;Booster;MAE;F1-Score
XGBRegressor;1300;gblinear;0.012878778604920791;0.4432597437380192
XGBRegressor;1300;gbtree;0.014162974074567167;0.5192480013256872
XGBRegressor;1300;dart;0.013383700798784159;0.5242355503428507
LGBMRegressor;1300;dart;0.06486974980858733;0.0
LGBMRegressor;1300;gbdt;0.014894214869429016;0.5440388636638714
